measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All Ages,Non-communicable diseases,Number,1990,26825621.31987952,27185388.539013576,26481606.82874817
Deaths,Global,Both,All Ages,Injuries,Number,1990,4260492.518478363,4396137.758512673,4085699.4768378236
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2000,14835530.528040135,15316420.259737886,14486877.955983115
Deaths,Global,Both,All Ages,Injuries,Number,1995,4543802.7210485665,4657501.689968857,4384443.659977651
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,1995,15132653.623380652,15578316.32265741,14779172.17985826
Deaths,Global,Both,All Ages,Injuries,Number,2000,4568246.437249146,4665621.203238904,4416960.983032855
Deaths,Global,Both,All Ages,Non-communicable diseases,Number,1995,29407048.60726543,29731943.347514734,29058932.583004363
Deaths,Global,Both,All Ages,Non-communicable diseases,Number,2000,31138227.81166206,31459628.380939208,30753639.35146462
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,1990,15392200.288617902,15892498.287907196,14975530.118110014
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2005,13906587.489398764,14401738.201732628,13564633.782753138
Deaths,Global,Both,All Ages,Non-communicable diseases,Number,2010,35592215.834489495,35956715.40310283,35127130.52057357
Deaths,Global,Both,All Ages,Non-communicable diseases,Number,2005,33015794.851307757,33336423.44871123,32606287.928786177
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2010,12528020.169631908,13069544.75385331,12172699.343691476
Deaths,Global,Both,All Ages,Injuries,Number,2005,4500880.984546174,4594954.214508797,4330434.139516514
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2015,10882448.894897968,11449481.528174749,10504510.614174472
Deaths,Global,Both,All Ages,Injuries,Number,2015,4486745.463096139,4578670.893860526,4322846.982485797
Deaths,Global,Both,All Ages,Injuries,Number,2010,4718075.506429079,4810717.723358106,4552792.088743737
Deaths,Global,Both,All Ages,Non-communicable diseases,Number,2015,39452998.705863245,39870004.77868748,38954580.532558545
Deaths,Global,Both,All Ages,"Communicable, maternal, neonatal, and nutritional diseases",Number,2017,10389874.171639994,10975896.772246305,10003996.955227144
Deaths,Global,Both,All Ages,Non-communicable diseases,Number,2017,41071133.4864007,41548876.68605266,40470873.483850904
Deaths,Global,Both,All Ages,Injuries,Number,2017,4484722.077168794,4585553.645438967,4332010.31530106
