cause,year,deaths
Communicable diseases,1990,15392200
Injuries,1990,4260493
Non-communicable diseases,1990,26825621
Communicable diseases,1995,15132654
Injuries,1995,4543803
Non-communicable diseases,1995,29407049
Communicable diseases,2000,14835531
Injuries,2000,4568246
Non-communicable diseases,2000,31138228
Communicable diseases,2005,13906587
Injuries,2005,4500881
Non-communicable diseases,2005,33015795
Communicable diseases,2010,12528020
Injuries,2010,4718076
Non-communicable diseases,2010,35592216
Communicable diseases,2015,10882449
Injuries,2015,4486745
Non-communicable diseases,2015,39452999
Communicable diseases,2017,10389874
Injuries,2017,4484722
Non-communicable diseases,2017,41071133
